Total number of contigs: 5369
Maximum contig length: 7451
Mean contig length: 334.8854535295213
Total length of genome assembly: 1798000
Mean depth of coverage: 37.23267689830518
N50: 789
# Contig length	Number of Contigs in this category
0	2058
100	1557
200	421
300	271
400	184
500	129
600	119
700	96
800	76
900	59
1000	49
1100	33
1200	31
1300	31
1400	24
1500	29
1600	26
1700	14
1800	16
1900	22
2000	8
2100	12
2200	15
2300	7
2400	5
2500	8
2600	9
2700	1
2800	4
2900	4
3000	1
3100	6
3200	6
3300	7
3400	5
3500	2
3600	2
3700	2
3800	0
3900	2
4000	3
4100	2
4200	1
4300	1
4400	0
4500	0
4600	0
4700	2
4800	0
4900	1
5000	0
5100	0
5200	1
5300	0
5400	0
5500	0
5600	1
5700	0
5800	2
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	1
6800	0
6900	0
7000	1
7100	1
7200	0
7300	0
7400	1
