Total number of contigs: 422
Maximum contig length: 7268
Mean contig length: 939.414691943128
Total length of genome assembly: 396433
Mean depth of coverage: 123.65342120616125
N50: 2105
# Contig length	Number of Contigs in this category
0	22
100	96
200	45
300	31
400	31
500	20
600	15
700	18
800	13
900	10
1000	6
1100	9
1200	11
1300	4
1400	5
1500	7
1600	6
1700	5
1800	5
1900	3
2000	1
2100	8
2200	3
2300	2
2400	3
2500	4
2600	2
2700	2
2800	3
2900	2
3000	0
3100	3
3200	2
3300	4
3400	3
3500	0
3600	2
3700	1
3800	0
3900	1
4000	0
4100	1
4200	2
4300	0
4400	2
4500	1
4600	0
4700	0
4800	1
4900	0
5000	0
5100	1
5200	1
5300	0
5400	1
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	1
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	1
7200	1
