Total number of contigs: 1344
Maximum contig length: 10467
Mean contig length: 888.7113095238095
Total length of genome assembly: 1194428
Mean depth of coverage: 58.560394473214274
N50: 1784
# Contig length	Number of Contigs in this category
0	65
100	283
200	184
300	98
400	89
500	57
600	41
700	46
800	44
900	35
1000	28
1100	29
1200	31
1300	37
1400	26
1500	18
1600	18
1700	15
1800	19
1900	21
2000	11
2100	19
2200	7
2300	10
2400	7
2500	13
2600	4
2700	7
2800	8
2900	7
3000	7
3100	6
3200	3
3300	5
3400	5
3500	1
3600	4
3700	1
3800	1
3900	3
4000	2
4100	1
4200	1
4300	4
4400	4
4500	1
4600	0
4700	2
4800	1
4900	0
5000	1
5100	1
5200	2
5300	0
5400	2
5500	0
5600	0
5700	0
5800	0
5900	1
6000	0
6100	0
6200	2
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	1
7300	0
7400	0
7500	0
7600	1
7700	0
7800	0
7900	1
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	1
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	1
